
Rate modification view 1:

			Reaction			 Modification Factor 
ca59 -> n + n + n + sc56 + electron + anti-neutrino_e    0.0000e+00
ca59 -> n + n + sc57 + electron + anti-neutrino_e        0.0000e+00
ca59 -> n + sc58 + electron + anti-neutrino_e            0.0000e+00
ca60 -> n + n + n + sc57 + electron + anti-neutrino_e    0.0000e+00
ca60 -> n + n + sc58 + electron + anti-neutrino_e        0.0000e+00
ca60 -> n + sc59 + electron + anti-neutrino_e            0.0000e+00
ca61 -> n + n + n + sc58 + electron + anti-neutrino_e    0.0000e+00
ca61 -> n + n + sc59 + electron + anti-neutrino_e        0.0000e+00
ca61 -> n + sc60 + electron + anti-neutrino_e            0.0000e+00
ca62 -> n + n + n + sc59 + electron + anti-neutrino_e    0.0000e+00
ca62 -> n + n + sc60 + electron + anti-neutrino_e        0.0000e+00
ca62 -> n + sc61 + electron + anti-neutrino_e            0.0000e+00
ca63 -> n + n + n + sc60 + electron + anti-neutrino_e    0.0000e+00
ca63 -> n + n + sc61 + electron + anti-neutrino_e        0.0000e+00
ca63 -> n + sc62 + electron + anti-neutrino_e            0.0000e+00
ca64 -> n + n + n + sc61 + electron + anti-neutrino_e    0.0000e+00
ca64 -> n + n + sc62 + electron + anti-neutrino_e        0.0000e+00
ca64 -> n + sc63 + electron + anti-neutrino_e            0.0000e+00
ca65 -> n + n + n + sc62 + electron + anti-neutrino_e    0.0000e+00
ca65 -> n + n + sc63 + electron + anti-neutrino_e        0.0000e+00
ca65 -> n + sc64 + electron + anti-neutrino_e            0.0000e+00
ca66 -> n + n + n + sc63 + electron + anti-neutrino_e    0.0000e+00
ca66 -> n + n + sc64 + electron + anti-neutrino_e        0.0000e+00
ca66 -> n + sc65 + electron + anti-neutrino_e            0.0000e+00
ca67 -> n + n + n + sc64 + electron + anti-neutrino_e    0.0000e+00
ca67 -> n + n + sc65 + electron + anti-neutrino_e        0.0000e+00
ca67 -> n + sc66 + electron + anti-neutrino_e            0.0000e+00
ca68 -> n + n + n + sc65 + electron + anti-neutrino_e    0.0000e+00
ca68 -> n + n + sc66 + electron + anti-neutrino_e        0.0000e+00
ca68 -> n + sc67 + electron + anti-neutrino_e            0.0000e+00
ca69 -> n + sc68 + electron + anti-neutrino_e            0.0000e+00
ca70 -> n + n + sc68 + electron + anti-neutrino_e        0.0000e+00
ca70 -> n + sc69 + electron + anti-neutrino_e            0.0000e+00
ca71 -> n + sc70 + electron + anti-neutrino_e            0.0000e+00
ca72 -> n + n + sc70 + electron + anti-neutrino_e        0.0000e+00
ca73 -> n + sc72 + electron + anti-neutrino_e            0.0000e+00
cl43 -> n + ar42 + electron + anti-neutrino_e            0.0000e+00
cl44 -> n + ar43 + electron + anti-neutrino_e            0.0000e+00
cl45 -> n + ar44 + electron + anti-neutrino_e            0.0000e+00
cl46 -> n + ar45 + electron + anti-neutrino_e            0.0000e+00
cl46 -> n + n + ar44 + electron + anti-neutrino_e        0.0000e+00
cl47 -> n + ar46 + electron + anti-neutrino_e            0.0000e+00
cl47 -> n + n + ar45 + electron + anti-neutrino_e        0.0000e+00
cl48 -> n + ar47 + electron + anti-neutrino_e            0.0000e+00
cl48 -> n + n + ar46 + electron + anti-neutrino_e        0.0000e+00
cl49 -> n + ar48 + electron + anti-neutrino_e            0.0000e+00
cl49 -> n + n + ar47 + electron + anti-neutrino_e        0.0000e+00
cl49 -> n + n + n + ar46 + electron + anti-neutrino_e    0.0000e+00
cl50 -> n + ar49 + electron + anti-neutrino_e            0.0000e+00
cl50 -> n + n + ar48 + electron + anti-neutrino_e        0.0000e+00
cl50 -> n + n + n + ar47 + electron + anti-neutrino_e    0.0000e+00
cl51 -> n + ar50 + electron + anti-neutrino_e            0.0000e+00
cl51 -> n + n + ar49 + electron + anti-neutrino_e        0.0000e+00
cl51 -> n + n + n + ar48 + electron + anti-neutrino_e    0.0000e+00
cl52 -> n + ar51 + electron + anti-neutrino_e            0.0000e+00
cl52 -> n + n + ar50 + electron + anti-neutrino_e        0.0000e+00
cl52 -> n + n + n + ar49 + electron + anti-neutrino_e    0.0000e+00
cl53 -> n + ar52 + electron + anti-neutrino_e            0.0000e+00
cl53 -> n + n + ar51 + electron + anti-neutrino_e        0.0000e+00
cl53 -> n + n + n + ar50 + electron + anti-neutrino_e    0.0000e+00
cl54 -> n + n + ar52 + electron + anti-neutrino_e        0.0000e+00
cl54 -> n + n + n + ar51 + electron + anti-neutrino_e    0.0000e+00
cl55 -> n + ar54 + electron + anti-neutrino_e            0.0000e+00
cl55 -> n + n + ar53 + electron + anti-neutrino_e        0.0000e+00
cl55 -> n + n + n + ar52 + electron + anti-neutrino_e    0.0000e+00
cl56 -> n + ar55 + electron + anti-neutrino_e            0.0000e+00
cl56 -> n + n + ar54 + electron + anti-neutrino_e        0.0000e+00
cl56 -> n + n + n + ar53 + electron + anti-neutrino_e    0.0000e+00
cl57 -> n + ar56 + electron + anti-neutrino_e            0.0000e+00
cl57 -> n + n + ar55 + electron + anti-neutrino_e        0.0000e+00
cl57 -> n + n + n + ar54 + electron + anti-neutrino_e    0.0000e+00
cl58 -> n + ar57 + electron + anti-neutrino_e            0.0000e+00
cl59 -> n + ar58 + electron + anti-neutrino_e            0.0000e+00
cl59 -> n + n + ar57 + electron + anti-neutrino_e        0.0000e+00
cl60 -> n + ar59 + electron + anti-neutrino_e            0.0000e+00
cl61 -> n + ar60 + electron + anti-neutrino_e            0.0000e+00
cl61 -> n + n + ar59 + electron + anti-neutrino_e        0.0000e+00
cl62 -> n + ar61 + electron + anti-neutrino_e            0.0000e+00
cl63 -> n + n + ar61 + electron + anti-neutrino_e        0.0000e+00
co67 -> n + ni66 + electron + anti-neutrino_e            0.0000e+00
co68 -> n + ni67 + electron + anti-neutrino_e            0.0000e+00
co69 -> n + ni68 + electron + anti-neutrino_e            0.0000e+00
co70 -> n + ni69 + electron + anti-neutrino_e            0.0000e+00
co71 -> n + ni70 + electron + anti-neutrino_e            0.0000e+00
co72 -> n + n + ni70 + electron + anti-neutrino_e        0.0000e+00
co72 -> n + ni71 + electron + anti-neutrino_e            0.0000e+00
co73 -> n + n + ni71 + electron + anti-neutrino_e        0.0000e+00
co73 -> n + ni72 + electron + anti-neutrino_e            0.0000e+00
